immutable_pool_sui,immutable_pool_tokens,price_of_last_transaction,staked_sui_count,staked_sui_activated_count,staked_sui_pools_count,token_total_supply,pending_amount,staked_amount,staked_with_rewards_balance,all_time_promised_amount,promised_amount,promised_fulfilled,promised_amount_in_staked,extra_staked_in_promised,all_time_extra_amount,still_waiting_for_sui_amount,price_calculated,epoch,user_balance_sui,user_balance_tokens
"10000000000","10000000000","1.106282089","14","13","4","44.217843705","0.333596782","48.752842529","50.803867432","40.019631394","12.220055703","0.000000000","7.392903827","0.063925199","0.397521981","0.000000000","1.1062820891347216","17","3935.188889228","34.217843705"
"10000000000","10000000000","1.117082134","15","14","4","44.829150481","0.397521981","50.030874457","52.286953574","44.342633810","12.606632435","0.000000000","7.717900177","0.066771077","0.464293058","0.000000000","1.1170821347869297","18","3933.794028294","34.829150481"
"10000000000","10000000000","1.128008987","16","15","4","45.340364243","0.464293058","51.173417206","53.638473933","48.771994750","12.958428645","0.000000000","8.013990414","0.069261667","0.533554725","0.000000000","1.1280089871332708","19","3932.569194279","35.340364243"
"10000000000","10000000000","1.139046414","17","16","4","45.761836918","0.533554725","52.192330534","54.869708440","53.298038316","13.278406922","0.000000000","8.283630019","0.071432247","0.604986972","0.000000000","1.1390464140764673","20","3931.499293215","35.761836918"
"10000000000","10000000000","1.149209633","18","17","4","46.106250318","0.281984556","53.192330534","56.269572606","57.908443945","13.565810135","4.323002416","4.206065289","0.069649228","0.674636200","0.000000000","1.1492096334347586","21","3930.574122957","36.106250318"
"10000000000","10000000000","1.160124715","18","18","4","46.379142652","0.922272844","53.192330534","56.709137411","62.597815333","13.825820583","8.752363356","0.000000000","0.067444485","0.742080685","0.000000000","1.1601247154507233","22","3929.778328018","36.379142652"
"10000000000","10000000000","1.171102417","19","18","4","46.588135404","0.463673763","54.192330534","58.156520541","67.358754644","14.060716328","8.955404506","0.000000000","0.000000000","0.742080685","0.000000000","1.1711024170182949","23","3929.095276146","36.588135404"
"10000000000","10000000000","1.180703824","19","19","4","46.740607898","0.853268134","54.192330534","58.603832220","72.178729781","14.270285836","9.136449195","0.000000000","0.000000000","0.742080685","0.000000000","1.1807038247861856","24","3928.546468718","36.740607898"
"10000000000","10000000000","1.190438505","20","19","4","46.846666768","0.163896746","55.192330534","60.058837093","77.052473214","14.454657881","9.299777017","0.000000000","0.000000000","0.742080685","0.000000000","1.1904385051380866","25","3928.039428596","36.846666768"
"10000000000","10000000000","1.200149619","20","20","4","46.911532585","0.402957435","55.192330534","60.513770442","81.974624521","14.615869877","9.450310699","0.000000000","0.000000000","0.742080685","0.000000000","1.2001496198826436","26","3927.671647617","36.911532585"
